anio_acci;nro_acci;fecha;desc_dia;hora_aprox;desc_ruta;km;cant_participantes;desc_participante;calle_avenida_km;total;heridos_leves;heridos_graves;heridos_gravisimos;ilesos;fallecidos;sin_datos;posicion_XY;desc_tipo_via;desc_ruta_ori;desc_loc;desc_dpto;desc_tipo_calzada;desc_tipo_banquina;desc_unidad_regional;desc_lugar_calzada;desc_zona;desc_prioridad;desc_estado_semaforo;desc_lugar_via;desc_estado_via;desc_estado_visibilidad;desc_luminosidad;desc_estado_clima;desc_tipo_colision;desc_tipo_atropello;desc_tipo_hecho;desc_pres_calzada;desc_senializacion;desc_separacion_via;desc_restriccion
2021;1358;17/4/2021;Sabado;17:10:00;;0.0;2;Automóvil,Moto/Ciclomotor;Av. Uriburu Y Santiago;4;3;0;0;1;0;0;-32.991429497647,-60.668289384791;Avenida;;ROSARIO;Rosario;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Lateral;S/D;Colisión;Ninguna;Faltante;Cordón divisorio;Sin restricción
2021;1359;30/4/2021;Viernes;06:50:00;;0.0;2;Moto/Ciclomotor,Camión;Av. Uriburu Y Bv. Avellaneda;2;1;0;0;1;0;0;-32.991855217714,-60.688655728241;Avenida;;ROSARIO;Rosario;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;Funciona;Intersección;Bueno;Buena;Diurna;S/D;Lateral;S/D;Colisión;Ninguna;Horizontal,Vertical;Cordón divisorio;Sin restricción
2021;1360;13/4/2021;Martes;17:40:00;;0.0;2;Automóvil,Bicicleta;Centeno Y San Nicolas;2;1;0;0;1;0;0;-32.978680708371,-60.682004443603;Calle;;ROSARIO;Rosario;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;S/D;Ciclista;Colisión;Ninguna;Faltante;Cordón divisorio;Sin restricción
2021;1361;30/4/2021;Viernes;20:20:00;;0.0;2;Automóvil,Pickup/Utilitario;Av. Arijon Y Bv. Oroño;2;1;0;0;1;0;0;-33.003443019282,-60.664794377157;Avenida;;ROSARIO;Rosario;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;Funciona;Intersección;Bueno;Buena;Nocturna,Con luz artificial;Buen Tiempo;De alcance;S/D;Colisión;Ninguna;Horizontal,Vertical;Cordón divisorio;Sin restricción
2021;1362;19/4/2021;Lunes;18:35:00;;0.0;2;Automóvil,Moto/Ciclomotor;Av. Battle y Ordoñez Y Av. Corrientes;4;3;0;0;1;0;0;-33.00896612516,-60.653000776955;Avenida;;ROSARIO;Rosario;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Lateral;S/D;Colisión;Ninguna;Faltante;Cordón divisorio;Sin restricción
2021;1364;20/4/2021;Martes;07:30:00;;0.0;2;Moto/Ciclomotor,Moto/Ciclomotor;Ameghino Y Crespo;2;1;0;0;1;0;0;-32.981709487102,-60.678505832762;Calle;;ROSARIO;Rosario;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Lateral;S/D;Colisión;Ninguna;Faltante;Cordón divisorio;Sin restricción
2021;1365;13/4/2021;Martes;06:45:00;Ruta Provincial 18;0.0;2;Moto/Ciclomotor,Automóvil;Av. Ovidio Lagos 6800;2;1;0;0;1;0;0;-33.017754200396,-60.6791786333;Ruta;18;ROSARIO;Rosario;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;Funciona;Recta;Bueno;Buena;Amanecer;Buen Tiempo;Lateral;S/D;Colisión;Ninguna;Vertical;Cordón divisorio;Sin restricción
2021;1366;19/4/2021;Lunes;16:20:00;;0.0;2;Moto/Ciclomotor,Automóvil;Bv. Oroño 3500;2;1;0;0;1;0;0;-32.975196690317,-60.661355401723;Avenida;;ROSARIO;Rosario;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;Funciona;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Lateral;S/D;Colisión;Ninguna;Horizontal,Vertical;Cordón divisorio;Sin restricción
2021;1367;19/4/2021;Lunes;21:10:00;;0.0;2;Automóvil,Moto/Ciclomotor;Alsina Y Bv. 27 De Febrero;2;1;0;0;1;0;0;-32.960827532333,-60.681764685367;Avenida;;ROSARIO;Rosario;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;Funciona;Intersección;Bueno;Buena;Nocturna,Con luz artificial;Buen Tiempo;Lateral;S/D;Colisión;Ninguna;Horizontal,Vertical;Cordón divisorio;Sin restricción
2021;1368;22/4/2021;Jueves;10:00:00;;0.0;2;Moto/Ciclomotor,Automóvil;Pje. 509 Y Pje. 518;2;1;0;0;1;0;0;-33.012962111168,-60.660871984739;Calle;;ROSARIO;Rosario;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Lateral;S/D;Colisión;Ninguna;Faltante;Cordón divisorio;Sin restricción
